Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
1.03E-33,1.51E-34,6.73E-34,0.018380527,8.55E-34,2.03E-34,1.08E-34
7.54E-29,2.30E-29,5.26E-29,0.117241379,4.74E-29,3.48E-29,6.78E-30
6.60E-29,1.57E-29,4.02E-29,0.024096386,5.39E-29,2.08E-29,0
2.25E-29,3.16E-30,1.46E-29,0.050125313,1.11E-29,2.15E-30,0
7.19E-45,1.61E-45,5.18E-45,0.061097712,5.68E-45,1.38E-45,3.02E-46
2.25E-33,2.92E-34,1.60E-33,0.177226407,1.26E-33,7.25E-34,2.69E-34
2.29E-35,2.32E-36,1.94E-35,0.095652174,1.38E-35,2.46E-36,2.03E-36
1.04E-32,5.29E-33,7.91E-33,0.021167415,9.30E-33,4.78E-33,2.11E-33
1.37E-49,2.52E-50,1.05E-49,0.057342278,1.01E-49,3.15E-50,6.25E-51
1.08E-48,2.47E-49,8.06E-49,0.059173845,8.92E-49,2.12E-49,6.17E-50
7.08E-46,1.20E-46,5.52E-46,0.065409275,5.53E-46,1.34E-46,2.29E-47
2.65E-41,6.50E-42,2.10E-41,0.065162085,1.95E-41,5.79E-42,8.88E-43
8.56E-41,2.56E-41,5.69E-41,0.09208386,6.12E-41,2.35E-41,7.49E-42
5.32E-36,1.70E-36,3.80E-36,0.023042836,5.08E-36,7.56E-37,1.57E-37
2.22E-36,6.01E-37,1.49E-36,0.006334343,1.81E-36,7.02E-37,1.95E-37
1.11E-38,4.02E-39,6.92E-39,0.087143069,7.30E-39,3.23E-39,1.06E-39
1.11E-42,1.68E-43,8.48E-43,0.042875544,6.22E-43,2.42E-43,4.79E-44
2.74E-47,4.78E-48,2.23E-47,0.059824231,1.79E-47,7.79E-48,2.12E-48
6.90E-35,1.04E-35,5.60E-35,0.061930783,5.05E-35,1.97E-35,4.15E-36
1.80E-30,4.95E-31,1.80E-30,0.011689692,8.93E-31,1.17E-30,3.20E-31
7.29E-51,1.49E-51,5.65E-51,0.063172771,5.47E-51,2.05E-51,4.10E-52
4.02E-40,1.00E-40,3.04E-40,0.087557114,2.74E-40,1.43E-40,3.72E-41
8.72E-35,5.47E-35,6.06E-35,0.027788805,1.01E-34,1.60E-35,3.68E-36
6.50E-43,1.04E-43,5.59E-43,0.058239614,2.72E-43,2.47E-43,3.04E-44
4.08E-47,1.07E-47,3.11E-47,0.070609574,3.04E-47,9.96E-48,3.09E-48
7.18E-43,8.02E-44,5.64E-43,0.060023041,1.50E-43,2.45E-43,3.22E-44
9.36E-41,1.15E-41,7.50E-41,0.047858703,1.42E-41,3.52E-41,2.77E-42
1.79E-39,4.38E-40,1.44E-39,0.074392523,9.07E-40,6.39E-40,9.61E-41
2.42E-37,7.60E-38,1.62E-37,0.128426299,9.02E-38,1.09E-37,1.98E-38
1.43E-35,5.59E-36,1.17E-35,0.093588575,1.22E-35,4.99E-36,1.56E-36
2.73E-35,8.34E-36,2.09E-35,0.055030385,1.23E-35,1.54E-35,1.72E-36
1.59E-35,8.29E-36,9.33E-36,0.089375,5.39E-36,1.33E-35,5.87E-36
1.34E-28,3.23E-29,1.01E-28,0.075038285,1.28E-28,1.28E-29,1.26E-29
2.23E-53,6.01E-54,1.81E-53,0.044862724,2.23E-53,3.85E-54,9.12E-55
2.20E-52,3.42E-53,1.73E-52,0.060686356,3.86E-53,7.72E-53,1.58E-53
6.20E-51,1.62E-51,4.54E-51,0.099092317,1.64E-51,2.38E-51,6.83E-52
3.84E-41,7.40E-42,3.06E-41,0.096448381,6.03E-42,1.76E-41,4.91E-42
3.11E-37,4.65E-38,2.53E-37,0.028308097,1.09E-37,1.91E-37,3.74E-38
2.48E-33,1.03E-33,1.99E-33,0.07154047,2.89E-34,2.63E-33,2.21E-34
5.95E-53,1.08E-53,4.82E-53,0.069749014,4.47E-54,1.54E-53,4.26E-54
1.82E-48,7.08E-49,1.32E-48,0.047277138,1.36E-48,5.80E-49,1.79E-49
2.66E-45,4.37E-46,2.13E-45,0.093460326,1.35E-45,1.19E-45,1.69E-46
7.14E-45,3.21E-45,5.29E-45,0.048224496,6.86E-45,1.68E-45,6.70E-46
5.66E-42,1.31E-42,4.43E-42,0.03698279,2.73E-42,3.53E-42,4.93E-43
1.04E-40,1.67E-41,8.42E-41,0.060741445,5.01E-41,4.68E-41,6.94E-42
3.93E-37,2.27E-37,2.65E-37,0.086273666,2.83E-37,1.48E-37,4.23E-38
1.24E-36,4.22E-37,9.31E-37,0.090823307,8.75E-37,2.88E-37,1.28E-37
1.50E-31,1.21E-31,1.29E-31,0.085531575,1.37E-31,1.09E-31,2.12E-32
8.48E-33,1.66E-33,7.00E-33,0.056994819,2.02E-33,4.37E-33,8.17E-34
4.99E-34,1.16E-34,3.40E-34,0.03365166,1.21E-34,2.12E-34,6.14E-35
1.47E-40,1.07E-40,1.12E-40,0.042506527,5.44E-41,1.81E-40,3.30E-41
3.51E-28,0,2.35E-28,0,2.71E-28,4.02E-29,1.50E-29
7.32E-36,1.10E-36,5.61E-36,0.11398259,4.63E-36,2.36E-36,6.01E-37
3.76E-35,1.08E-35,2.41E-35,0.075236167,2.09E-35,1.40E-35,2.06E-36
1.90E-29,4.30E-30,1.74E-29,0.107579462,1.62E-29,7.04E-30,0
4.83E-44,1.44E-44,3.51E-44,0.096798943,1.75E-44,2.47E-44,6.46E-45
1.46E-53,3.08E-54,1.17E-53,0.072861468,2.49E-54,8.56E-54,2.32E-54
3.96E-46,1.38E-46,2.71E-46,0.113331949,2.19E-46,1.86E-46,5.71E-47
1.04E-43,2.88E-44,7.56E-44,0.096175064,1.99E-44,5.59E-44,1.80E-44
4.69E-43,2.00E-43,3.42E-43,0.055520827,4.33E-43,1.68E-43,4.19E-44
1.88E-41,9.13E-42,1.23E-41,0.084361164,1.44E-41,6.26E-42,2.32E-42
1.76E-42,4.42E-43,1.40E-42,0.071982974,2.94E-43,1.17E-42,2.31E-43
1.12E-41,2.21E-42,9.14E-42,0.050030836,1.93E-42,6.25E-42,1.37E-42
2.79E-40,7.46E-41,2.16E-40,0.019642463,8.89E-41,1.73E-40,3.08E-41
1.65E-39,2.93E-40,1.38E-39,0.05253852,5.77E-40,9.20E-40,9.11E-41
6.04E-37,3.57E-38,5.22E-37,0.056357078,2.69E-37,3.07E-37,5.87E-38
8.83E-35,4.19E-35,7.35E-35,0.034117647,8.28E-35,3.35E-35,9.93E-36
3.52E-35,1.46E-35,2.47E-35,0.073079538,1.20E-35,2.67E-35,9.24E-36
2.67E-35,1.06E-35,1.62E-35,0.047179487,1.02E-35,2.02E-35,3.83E-36
1.41E-34,9.37E-35,1.21E-34,0.108786611,4.79E-35,1.05E-34,2.33E-35
3.55E-34,1.21E-34,2.98E-34,0.077249576,1.04E-34,1.74E-34,1.83E-35
1.72E-31,9.76E-32,1.46E-31,0.035353535,1.18E-31,1.04E-31,6.01E-32
1.12E-47,4.28E-48,8.50E-48,0.0539724,8.63E-48,4.18E-48,1.22E-48
5.66E-34,7.90E-35,4.82E-34,0.029479503,6.08E-35,4.57E-34,2.23E-35
3.52E-55,7.05E-56,2.80E-55,0.072218341,5.14E-56,2.08E-55,4.53E-56
2.61E-53,5.98E-54,2.12E-53,0.061215064,4.22E-54,1.57E-53,4.67E-54
4.92E-52,1.83E-52,3.48E-52,0.101174601,1.54E-52,2.80E-52,8.28E-53
2.68E-42,1.33E-42,2.04E-42,0.113458628,1.26E-42,1.61E-42,4.50E-43
1.06E-40,4.80E-41,7.22E-41,0.066775872,7.93E-41,4.51E-41,1.77E-41
7.08E-39,1.16E-39,5.56E-39,0.099723375,2.65E-39,3.65E-39,3.47E-40
6.45E-45,3.11E-45,4.31E-45,0.080531385,4.89E-45,2.62E-45,9.41E-46
8.48E-31,1.51E-31,6.63E-31,0,6.07E-31,1.65E-31,5.02E-32
1.17E-38,3.07E-39,9.28E-39,0.151849807,5.51E-39,6.24E-39,7.47E-40
5.44E-40,2.27E-40,3.91E-40,0.075448568,3.79E-40,2.18E-40,7.49E-41
6.01E-44,1.22E-44,5.00E-44,0.059569649,7.79E-45,3.12E-44,6.17E-45
1.02E-40,4.69E-41,7.00E-41,0.071965016,2.61E-41,8.41E-41,1.74E-41
6.91E-41,3.81E-41,5.40E-41,0.08141125,5.20E-41,3.53E-41,1.31E-41
6.46E-37,1.32E-37,4.60E-37,0.1594906,1.43E-37,3.60E-37,7.72E-38
2.27E-32,6.36E-33,1.82E-32,0.024373731,1.41E-32,1.06E-32,3.97E-33
3.55E-31,1.86E-31,2.27E-31,0.029649596,1.86E-31,2.54E-31,1.59E-32
5.22E-44,2.17E-44,3.36E-44,0.078584681,2.51E-44,3.10E-44,9.76E-45
2.34E-53,7.94E-54,1.85E-53,0.075176976,6.49E-54,1.56E-53,4.37E-54
9.13E-52,2.68E-52,7.35E-52,0.082452199,2.02E-52,7.37E-52,1.53E-52
4.91E-50,1.78E-50,3.81E-50,0.096797577,2.72E-50,2.78E-50,1.08E-50
1.18E-48,3.64E-49,9.05E-49,0.069176442,5.33E-49,6.11E-49,1.95E-49
1.88E-47,6.51E-48,1.44E-47,0.055806815,8.89E-48,1.09E-47,2.85E-48
2.34E-47,6.60E-48,1.86E-47,0.067960766,5.82E-48,1.39E-47,4.35E-48
9.27E-45,4.72E-45,6.48E-45,0.063429289,4.19E-45,5.84E-45,1.82E-45
1.06E-44,2.54E-45,8.19E-45,0.041507819,9.94E-45,1.87E-45,5.80E-46
1.62E-42,9.86E-43,1.14E-42,0.0691628,9.93E-43,1.04E-42,3.37E-43
6.84E-43,2.28E-43,5.30E-43,0.097243919,1.69E-43,5.33E-43,9.52E-44
4.47E-42,3.09E-42,3.08E-42,0.068700676,3.04E-42,2.55E-42,1.14E-42
1.16E-42,2.82E-43,9.38E-43,0.089626262,2.21E-43,7.34E-43,1.19E-43
1.63E-42,6.38E-43,1.24E-42,0.119511469,6.19E-43,1.20E-42,3.40E-43
1.24E-41,2.78E-42,9.70E-42,0.072724524,4.84E-42,6.50E-42,5.89E-43
1.74E-41,4.24E-42,1.13E-41,0.066619195,7.04E-42,9.43E-42,2.28E-42
2.30E-40,8.82E-41,1.57E-40,0.048481675,1.61E-40,6.60E-41,2.59E-41
9.80E-41,3.87E-41,7.60E-41,0.070860927,6.31E-41,4.76E-41,1.29E-41
3.43E-36,1.69E-36,2.79E-36,0.022228555,2.33E-36,1.70E-36,3.06E-37
1.36E-35,4.90E-36,9.70E-36,0.096725743,6.03E-36,9.31E-36,1.80E-36
1.06E-28,4.03E-29,8.34E-29,0,7.73E-29,3.14E-29,0
1.56E-51,4.68E-52,1.16E-51,0.057359929,1.30E-51,4.93E-52,1.81E-52
4.63E-51,2.22E-51,3.24E-51,0.095666912,1.93E-51,2.98E-51,9.20E-52
1.12E-46,5.58E-47,7.68E-47,0.075566386,5.76E-47,6.96E-47,2.02E-47
1.37E-43,7.59E-44,8.37E-44,0.083633531,4.71E-44,9.84E-44,3.01E-44
2.62E-43,9.67E-44,1.66E-43,0.054082941,2.05E-43,1.04E-43,3.38E-44
1.68E-42,1.06E-42,1.24E-42,0.112144387,8.69E-43,1.23E-42,3.08E-43
5.70E-42,1.15E-42,4.09E-42,0.016202835,5.42E-42,1.00E-42,3.98E-43
3.54E-29,0,2.43E-29,0,1.67E-29,9.94E-30,5.36E-30
2.34E-39,1.81E-39,1.51E-39,0.069779712,1.42E-39,1.65E-39,5.40E-40
9.79E-40,4.14E-40,7.32E-40,0.058545455,6.85E-40,4.39E-40,7.40E-41
1.96E-53,9.80E-54,1.36E-53,0.070724732,1.19E-53,1.10E-53,3.84E-54
1.69E-50,6.81E-51,1.30E-50,0.084951001,6.67E-51,1.12E-50,3.16E-51
2.53E-47,9.23E-48,1.94E-47,0.089836827,9.08E-48,1.79E-47,4.54E-48
1.31E-46,5.39E-47,9.49E-47,0.059821207,9.69E-47,6.38E-47,1.95E-47
1.96E-46,4.57E-47,1.41E-46,0.061169193,1.42E-47,1.42E-46,5.52E-47
5.75E-45,1.94E-45,4.10E-45,0.050306435,4.83E-45,1.83E-45,7.57E-46
2.52E-41,1.44E-41,1.73E-41,0.10443571,1.23E-41,1.69E-41,6.20E-42
3.40E-40,1.03E-40,2.72E-40,0.059211951,2.47E-40,1.14E-40,3.07E-41
1.50E-39,7.29E-40,1.21E-39,0.092305816,6.76E-40,1.00E-39,3.78E-40
1.17E-39,5.73E-40,8.18E-40,0.054475193,5.97E-40,8.70E-40,2.04E-40
1.33E-42,4.02E-43,9.76E-43,0.05222898,1.09E-42,4.21E-43,1.47E-43
9.93E-45,6.06E-45,7.00E-45,0.082101621,5.12E-45,7.04E-45,2.09E-45
7.10E-47,3.80E-47,4.98E-47,0.096051684,3.30E-47,4.64E-47,1.84E-47
1.30E-45,5.19E-46,9.31E-46,0.038637747,1.17E-45,4.65E-46,1.56E-46
1.40E-52,7.10E-53,9.97E-53,0.08772359,7.08E-53,8.82E-53,3.25E-53
1.49E-52,4.61E-53,1.05E-52,0.046585715,1.31E-52,4.49E-53,1.40E-53
5.55E-51,2.76E-51,4.15E-51,0.051467273,1.98E-51,4.58E-51,1.21E-51
3.21E-48,1.42E-48,2.48E-48,0.078267592,1.37E-48,2.11E-48,6.69E-49
7.59E-46,4.33E-46,5.32E-46,0.10577224,2.49E-46,7.00E-46,1.98E-46
1.20E-40,5.31E-41,8.88E-41,0.103454715,5.63E-41,7.47E-41,2.55E-41
5.66E-39,1.22E-39,4.41E-39,0.045454545,2.04E-39,3.46E-39,1.20E-39
4.52E-38,1.16E-38,3.08E-38,0.047263682,4.00E-38,1.05E-38,5.61E-39
9.88E-56,4.88E-56,7.39E-56,0.083810867,5.30E-56,6.01E-56,2.04E-56
1.01E-47,8.65E-48,7.43E-48,0.075959674,4.77E-48,9.98E-48,3.22E-48
1.40E-44,5.22E-45,9.86E-45,0.074667496,9.23E-45,6.74E-45,1.48E-45
2.68E-43,1.24E-43,2.01E-43,0.060298284,1.04E-43,1.97E-43,6.92E-44
1.25E-48,6.92E-49,9.32E-49,0.084186296,6.08E-49,9.57E-49,3.47E-49
1.62E-47,7.01E-48,1.19E-47,0.067128194,9.27E-48,8.90E-48,2.32E-48
2.26E-47,8.72E-48,1.78E-47,0.06882792,1.77E-47,9.32E-48,2.81E-48
3.93E-43,1.45E-43,2.94E-43,0.050862499,1.48E-43,2.60E-43,5.77E-44
5.26E-42,3.90E-42,3.94E-42,0.102197419,2.40E-42,4.76E-42,1.77E-42
6.14E-42,1.16E-42,4.43E-42,0.03654583,5.63E-42,1.02E-42,3.78E-43
9.86E-40,6.11E-40,7.28E-40,0.05190783,5.61E-40,7.49E-40,3.13E-40
5.05E-40,1.88E-40,3.96E-40,0.037819026,2.25E-40,3.60E-40,5.67E-41
6.52E-38,4.07E-38,4.86E-38,0.068584071,2.13E-38,6.13E-38,2.09E-38
1.08E-44,5.25E-45,8.36E-45,0.062628297,5.95E-45,7.21E-45,1.98E-45
2.77E-42,1.51E-42,1.97E-42,0.089552239,1.05E-42,2.31E-42,9.52E-43
3.78E-40,1.02E-40,2.93E-40,0.055676856,2.78E-41,3.64E-40,1.56E-40
6.67E-32,2.03E-32,5.69E-32,0.059766764,2.93E-32,3.80E-32,1.88E-33
1.30E-45,9.38E-46,8.55E-46,0.102791571,6.34E-46,1.08E-45,4.44E-46
1.23E-45,8.54E-46,8.91E-46,0.047584,1.23E-45,5.79E-46,3.16E-46
6.34E-46,1.61E-46,4.77E-46,0.040104981,5.41E-46,1.77E-46,6.60E-47
2.42E-39,1.72E-39,1.50E-39,0.107115726,1.08E-39,1.73E-39,5.20E-40
1.82E-46,1.16E-46,1.22E-46,0.07754113,5.05E-47,1.83E-46,8.00E-47
1.13E-42,7.35E-43,8.71E-43,0.081742207,5.40E-43,9.01E-43,3.85E-43
8.73E-39,3.79E-39,6.24E-39,0.04632028,4.80E-39,5.10E-39,1.29E-39
4.63E-34,1.43E-34,3.04E-34,0.065112187,3.73E-34,1.54E-34,2.06E-35
4.90E-34,1.84E-34,3.67E-34,0.149048198,2.80E-34,2.47E-34,1.77E-34
1.41E-36,4.32E-37,1.23E-36,0.053620646,1.08E-36,5.58E-37,1.38E-37
1.58E-29,6.31E-30,1.09E-29,0.104945718,7.67E-30,9.00E-30,5.12E-30